"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp拉取进销接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发销售入库X24数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发销售入库X24和X41凭证数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发销售出库X31数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp拉取发票接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发销售发票数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发采购发票数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp按日期拉取数据接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发采购票折数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发销售出库X12和X31凭证数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp拉取销售数据接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发采购入库数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp按照日期拉取采购数据接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发销售出库X12数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发销售入库X41数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","登录接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp按日拉取发票数据接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp按照日期拉取销售/采购出入库数据接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","推送批发采购出库数据到U8C接口","0","0","1","0","0"
"业务中台-从erp拉取数据到中台数据库相关接口","md_erp_stream_provider(批发业务拉取服务)","erp拉取采购数据接口","0","0","1","0","0"
